Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	7.5609	2.93	10.718	4	10	0	0
Positive	7.6401	0.6495	3.588	1	2	0	0
Positive	7.56	4.1131	9.3435	3	5	2	11
Positive	7.5474	6.399	8.0643	1	9	2	1
Positive	7.526	6.8072	10.2494	0	4	0	4
Positive	7.6314	0.4736	4.9096	1	8	0	1
Positive	7.5885	5.0761	4.5292	4	19	0	0
Positive	7.5608	5.692	7.2542	4	12	2	9
Positive	7.6171	2.763	3.8273	0	13	0	1
Positive	7.5767	5.1816	5.8955	5	1	7	3
Positive	7.6009	4.5949	3.567	10	10	0	5
Positive	7.5659	6.6772	5.373	3	12	6	6
Positive	7.5879	4.2611	5.6364	8	13	22	3
Positive	7.5812	5.5028	4.9233	5	23	20	0
Positive	7.5615	7.0157	5.5054	19	23	23	13
Positive	7.5277	7.0086	9.7768	11	6	0	10
Positive	7.6339	2.1839	2.4354	0	9	0	0
Positive	7.5518	6.4894	7.389	4	6	8	0
Positive	7.6169	1.8838	4.9695	4	11	0	0
Positive	7.6128	1.3368	6.174	0	5	0	0
Positive	7.5812	1.9598	9.3734	0	3	0	0
Positive	7.6065	2.3471	5.6955	2	12	3	4
Positive	7.6054	0.5384	8.1119	5	0	0	0
Positive	7.591	1.5236	8.6926	0	4	0	0
Positive	7.5988	2.6231	6.3237	0	7	5	4
Positive	7.5413	5.7523	9.6431	9	7	0	10
Positive	7.5888	1.9587	8.4145	1	2	0	0
Positive	7.6055	2.158	6.0646	1	0	0	1
Positive	7.5569	6.236	7.0694	0	3	3	0
Positive	7.5316	6.6327	9.7613	1	4	0	0
Positive	7.6174	2.8106	3.7347	4	6	0	0
Positive	7.558	5.8158	7.4578	13	11	11	1
Positive	7.5769	2.1602	9.6658	0	6	0	0
Positive	7.5724	2.9038	9.2993	3	6	0	0
Positive	7.5995	3.564	5.0501	1	9	4	0
Positive	7.5869	4.4014	5.5826	4	14	1	0
Positive	7.5487	6.2828	8.0367	3	16	1	2
Positive	7.5642	2.6957	10.5952	0	12	0	0
Positive	7.5833	1.7105	9.429	0	12	0	2
Positive	7.583	1.59	9.6132	0	5	0	0
Positive	7.5954	2.899	6.4008	3	5	0	0
Positive	7.5295	6.7915	9.827	5	2	0	1
Positive	7.5806	5.7128	4.7253	1	17	7	0
Positive	7.6007	3.3582	5.1557	19	14	5	1
Positive	7.6243	4.217	1.088	7	21	1	2
Positive	7.5934	5.5155	3.3642	5	8	0	4
Positive	7.6339	0.6978	4.3058	2	15	0	1
Positive	7.5478	4.4067	10.5096	13	15	0	1
Positive	7.615	3.7777	2.8155	12	36	10	37
Positive	7.5601	5.4941	7.5966	22	13	7	2
Positive	7.6156	3.0869	3.6154	4	3	0	0
Positive	7.5781	5.2173	5.6703	1	18	2	1
Positive	7.6115	1.4575	6.1865	0	10	0	0
Positive	7.6212	0.3323	6.3805	2	10	0	0
Positive	7.6436	1.6342	1.9061	3	5	0	0
Positive	7.6344	1.3122	3.4697	14	23	0	8
Positive	7.5345	6.8005	9.1757	10	21	1	13
Positive	7.564	5.3915	7.2305	9	3	12	0
Positive	7.5856	3.7733	6.5385	2	5	0	0
Positive	7.5429	6.0481	9.0718	14	10	0	0
Positive	7.5998	5.7323	2.2744	7	10	2	10
Positive	7.6163	1.8167	5.1262	7	8	0	0
Positive	7.636	2.4779	1.8082	7	21	0	0
Positive	7.5943	3.7256	5.495	3	9	10	0
Positive	7.6006	2.9352	5.7019	0	3	2	0
Positive	7.5505	5.8517	8.3542	15	0	16	5
Positive	7.5417	6.001	9.2806	1	2	0	0
Positive	7.6243	3.4227	2.0951	12	8	10	3
Positive	7.6139	0.4959	7.0857	0	6	0	0
Positive	7.5388	5.7525	9.9583	16	15	1	33
Positive	7.6368	0.7829	3.8415	4	12	0	3
Positive	7.6349	1.3106	3.4137	8	22	0	0
Positive	7.5604	3.2816	10.3353	7	12	0	1
Positive	7.6221	4.6052	0.8844	12	40	0	7
Positive	7.6095	5.7291	1.0577	24	13	0	7
Positive	7.5387	6.7076	8.7653	4	7	1	1
Positive	7.6092	1.153	6.854	6	5	0	0
Positive	7.5528	3.8624	10.5756	2	3	0	5
Positive	7.5577	5.7945	7.5124	1	6	2	0
Positive	7.6243	1.7821	4.1618	6	9	0	0
Positive	7.6123	2.0105	5.3904	0	2	0	0
Positive	7.6102	0.9409	7.0003	4	1	0	0
Positive	7.6387	2.2442	1.7545	5	22	0	1
Positive	7.5811	6.2084	4.0386	2	8	2	8
Positive	7.6123	3.1193	3.9911	3	2	0	0
Positive	7.6069	4.1746	3.3454	3	7	0	0
Positive	7.5799	4.3844	6.4963	0	5	8	0
Positive	7.6064	1.8437	6.3377	0	8	0	0
Positive	7.6417	1.5102	2.3026	3	11	0	0
Positive	7.6239	1.078	5.0967	4	13	0	0
Positive	7.602	5.4466	2.3611	5	9	0	23
Positive	7.5912	2.1295	7.8986	3	2	0	0
Positive	7.5943	1.0689	8.8476	7	19	0	3
